time,id,x,y
177,30,27.761290083637917,2.776129008363793
177,31,7.6,5.0
178,15,97.0,5.0
178,16,92.0,5.0
178,17,82.44720729174985,5.0
178,18,79.0,5.0
178,19,60.0,5.0
178,20,63.447207291763725,5.0
178,21,58.0,5.0
178,22,37.73156272954205,3.7731562729542096
178,23,48.0,5.0
178,24,41.20000000000001,5.0
178,25,35.000000000000014,5.0
178,26,34.92555785314984,3.4925557853149862
178,27,25.000000000000007,5.0
178,28,20.0,5.0
178,29,17.109999999999996,5.0
178,30,28.35831239776391,2.8358312397763923
178,31,8.6,5.0
179,15,98.0,5.0
179,16,93.0,5.0
179,17,83.44720729174985,5.0
179,18,80.0,5.0
179,19,61.0,5.0
179,20,64.44720729175332,5.0
179,21,59.0,5.0
179,22,38.059925002311346,3.8059925002311394
179,23,49.0,5.0
179,24,42.20000000000001,5.0
179,25,36.000000000000014,5.0
179,26,35.522580167275834,3.5522580167275857
179,27,26.000000000000007,5.0
179,28,21.0,5.0
179,29,18.559999999999995,5.0
179,30,28.955334711889904,2.8955334711889917
179,31,9.6,5.0
180,15,99.0,5.0
180,16,94.0,5.0
180,17,84.44720729174985,5.0
180,18,81.0,5.0
180,19,62.0,5.0
180,20,65.44720729175071,5.0
180,21,60.0,5.0
180,22,38.38828727508064,3.8388287275080692
180,23,50.0,5.0
180,24,43.20000000000001,5.0
180,25,37.000000000000014,5.0
180,26,35.522580167275834,3.5522580167275857
180,27,27.000000000000007,5.0
180,28,22.0,5.0
180,29,20.009999999999994,5.0
180,30,29.552357026015898,2.955235702601591
180,31,10.6,5.0
180,32,0.55,5.0
181,15,100.0,5.0
181,16,95.0,5.0
181,17,85.44720729174985,5.0
181,18,82.0,5.0
181,19,63.0,5.0
181,20,66.44720729175006,5.0
181,21,61.0,5.0
181,22,38.71664954784994,3.871664954784999
181,23,51.0,5.0
181,24,44.20000000000001,5.0
181,25,38.000000000000014,5.0
181,26,36.11960248140183,3.611960248140185
181,27,28.000000000000007,5.0
181,28,23.0,5.0
181,29,20.009999999999994,5.0
181,30,30.14937934014189,3.0149379340141906
181,31,11.6,5.0
181,32,1.1,5.0
182,16,96.0,5.0
182,17,86.44720729174985,5.0
182,18,83.0,5.0
182,19,64.0,5.0
182,20,67.4472072917499,5.0
182,21,62.0,5.0
182,22,39.04501182061924,3.904501182061929
182,23,52.0,5.0
182,24,45.20000000000001,5.0
182,25,39.000000000000014,5.0
182,26,36.11960248140183,3.611960248140185
182,27,29.000000000000007,5.0
182,28,24.0,5.0
182,29,21.459999999999994,5.0
182,30,30.746401654267885,3.07464016542679
182,31,12.6,5.0
182,32,1.6500000000000001,5.0
183,16,97.0,5.0
183,17,87.44720729174985,5.0
183,18,84.0,5.0
183,19,65.0,5.0
183,20,68.44720729174986,5.0
183,21,63.0,5.0
183,22,39.373374093388534,3.9373374093388587
183,23,53.0,5.0
183,24,46.20000000000001,5.0
183,25,40.000000000000014,5.0
183,26,36.71662479552782,3.6716624795527846
183,27,30.000000000000007,5.0
183,28,25.0,5.0
183,29,22.909999999999993,5.0
183,30,31.34342396839388,3.1343423968393895
183,31,13.6,5.0
183,32,2.2,5.0
184,16,98.0,5.0
184,17,88.44720729174985,5.0
184,18,85.0,5.0
184,19,66.0,5.0
184,20,69.44720729174985,5.0
184,21,64.0,5.0
184,22,39.70173636615783,3.9701736366157885
184,23,54.0,5.0
184,24,47.20000000000001,5.0
184,25,41.000000000000014,5.0
184,26,37.313647109653814,3.731364710965384
184,27,31.000000000000007,5.0
184,28,26.0,5.0
184,29,24.359999999999992,5.0
184,30,31.940446282519872,3.194044628251989
184,31,14.6,5.0
184,32,2.75,5.0
185,16,99.0,5.0
185,17,89.44720729174985,5.0
185,18,86.0,5.0
185,19,67.0,5.0
185,20,70.44720729174985,5.0
185,21,65.0,5.0
185,22,40.03009863892713,4.003009863892718
185,23,55.0,5.0
185,24,48.20000000000001,5.0
185,25,42.000000000000014,5.0
185,26,37.313647109653814,3.731364710965384
185,27,32.00000000000001,5.0
185,28,27.0,5.0
185,29,24.359999999999992,5.0
185,30,32.537468596645866,3.2537468596645884
185,31,15.6,5.0
185,32,3.3,5.0
185,33,20.597022314125994,2.0597022314125994
186,16,100.0,5.0
186,17,90.44720729174985,5.0
186,18,87.0,5.0
186,19,68.0,5.0
186,20,71.44720729174985,5.0
186,21,66.0,5.0
186,22,40.03009863892713,4.003009863892718
186,23,56.0,5.0
186,24,49.20000000000001,5.0
186,25,43.000000000000014,5.0
186,26,37.313647109653814,3.731364710965384
186,27,33.00000000000001,5.0
186,28,28.0,5.0
186,29,25.80999999999999,5.0
186,30,33.13449091077186,3.313449091077188
186,31,16.6,5.0
186,32,3.8499999999999996,5.0
186,33,21.194044628251987,2.119404462825199
187,17,91.44720729174985,5.0
187,18,88.0,5.0
187,19,69.0,5.0
187,20,72.44720729174985,5.0
187,21,67.0,5.0
187,22,40.358460911696426,4.035846091169647
187,23,57.0,5.0
187,24,50.20000000000001,5.0
187,25,44.000000000000014,5.0
187,26,37.91066942377981,3.7910669423779835
187,27,34.00000000000001,5.0
187,28,29.0,5.0
187,29,27.25999999999999,5.0
187,30,33.73151322489785,3.3731513224897873
187,31,17.6,5.0
187,32,4.3999999999999995,5.0
187,33,21.79106694237798,2.1791066942377983
188,17,92.44720729174985,5.0
188,18,89.0,5.0
188,19,70.0,5.0
188,20,73.44720729174985,5.0
188,21,68.0,5.0
188,22,40.68682318446572,4.068682318446577
188,23,58.0,5.0
188,24,51.20000000000001,5.0
188,25,45.000000000000014,5.0
188,26,37.91066942377981,3.7910669423779835
188,27,35.00000000000001,5.0
188,28,30.0,5.0
188,29,27.25999999999999,5.0
188,30,34.32853553902385,3.432853553902387
188,31,18.6,5.0
188,32,4.949999999999999,5.0
188,33,22.388089256503974,2.238808925650398
189,17,93.44720729174985,5.0
189,18,90.0,5.0
189,19,71.0,5.0
189,20,74.44720729174985,5.0
189,21,69.0,5.0
189,22,41.01518545723502,4.101518545723506
189,23,59.0,5.0
189,24,52.20000000000001,5.0
189,25,46.000000000000014,5.0
189,26,38.5076917379058,3.850769173790583
189,27,36.00000000000001,5.0
